PIBBR_RSBI;PIBBR_USBI;SELIC;COMM;PIBUS_USBI;RPRIM_RSMI;RPRIM_USMI
4%;993%;15.75%;10%;6%;4%;4%
1%;-15%;19.00%;-19%;3%;4%;-20%
3%;-9%;25.00%;14%;3%;45%;17%
1%;10%;16.50%;15%;5%;24%;18%
6%;-88%;17.75%;12%;7%;26%;33%
3%;1231%;18.00%;17%;7%;7%;28%
4%;24%;13.25%;7%;6%;-7%;4%
6%;26%;11.25%;12%;5%;18%;32%
5%;21%;13.75%;-22%;2%;24%;31%
0%;-1%;8.75%;28%;-2%;-45%;-49%
8%;32%;10.75%;28%;4%;97%;124%
4%;18%;11.00%;-8%;4%;18%;24%
2%;-6%;7.25%;0%;4%;-8%;-21%
3%;0%;10.00%;-9%;4%;-15%;-23%
1%;-1%;11.75%;-3%;4%;-133%;-130%
-4%;-27%;14.25%;-16%;4%;413%;261%
-3%;0%;13.75%;11%;3%;34%;28%
1%;15%;7.00%;1%;4%;-23%;-16%
2%;-7%;6.50%;-3%;5%;-3%;-15%
1%;-2%;4.50%;0%;4%;-21%;-27%
-3%;-21%;2.00%;2%;-1%;682%;498%
5%;13%;9.25%;37%;11%;-95%;-95%
3%;17%;13.75%;6%;9%;-232%;-238%
3%;11%;11.75%;-6%;6%;-597%;-613%
